p_name,release_date,specs,price_bdt,category,source
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Starlight,209000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Starlight,211000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Sky Blue,211000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Silver,211000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Midnight,211000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M4 | Gen: M Series | RAM: 24GB | Storage: 512GB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Silver,225000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Sky Blue,238000,laptop,Ryans
Apple MacBook Air,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Silver,238000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 512GB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 15.3 | Color: Midnight,184000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 512GB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 15.3 | Color: Silver,184000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 512GB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 15.3 | Color: Sky Blue,184000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Midnight,184000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M3 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 13.6 | Color: Silver,185000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Starlight,238000,laptop,Ryans
Apple MacBook Air ,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 15.3 | Color: Midnight,238000,laptop,Ryans
Apple MacBook Neo,2026,Processor: Apple A18 | Gen: A Series | RAM: 8GB | Storage: 512GB SSD | GPU: Apple 5-core GPU | GPU Mem: Shared | Display: 13 | Color: Blush,99900,laptop,Ryans
Apple MacBook Neo ,2026,Processor: Apple A18 | Gen: A Series | RAM: 8GB | Storage: 512GB SSD | GPU: Apple 5-core GPU | GPU Mem: Shared | Display: 13 | Color: Citrus,99900,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-core GPU | GPU Mem: Shared | Display: 14.2 | Color: Space Black,248000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 16GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Silver,248000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 32GB | Storage: 1TB SSD | GPU: Apple 10-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Silver,292000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 1TB SSD | GPU: Apple 16-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Silver,306000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 2TB SSD | GPU: Apple 16-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Space Black,360000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 2TB SSD | GPU: Apple 20-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Silver,387000,laptop,Ryans
Apple MacBook Pro,2026,Processor: Apple M5 | Gen: M Series | RAM: 24GB | Storage: 2TB SSD | GPU: Apple 20-Core GPU | GPU Mem: Shared | Display: 14.2 | Color: Space Black,387000,laptop,Ryans
